"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.490376166E0,1.902618408E1,-2.064514160E0,-4.275970459E1,4.684709421E1
1.510517767E0,1.767730713E1,-3.414916992E0,-4.350891113E1,4.708687921E1
1.530659369E0,1.812591553E1,-2.664184570E0,-4.290924072E1,4.665672119E1
1.550800970E0,2.022705078E1,-2.664184570E0,-4.261016846E1,4.724254352E1
1.570942572E0,1.692657471E1,-7.141113281E-1,-4.005889893E1,4.349407166E1
1.591084173E0,1.842651367E1,-5.645751953E-1,-4.425964355E1,4.794550238E1
1.611225775E0,2.007598877E1,-2.514648438E0,-4.245910645E1,4.703344025E1
1.631367377E0,1.992645264E1,-3.713989258E0,-4.290924072E1,4.745587604E1
1.651508978E0,1.902618408E1,-1.164245605E0,-4.305877686E1,4.708937686E1
1.671284369E0,1.872711182E1,-1.763916016E0,-4.380950928E1,4.767692544E1
1.691792181E0,1.932678223E1,-3.114318848E0,-4.411010742E1,4.825893772E1
1.711933783E0,2.007598877E1,-1.464843750E0,-4.380950928E1,4.821269745E1
1.732075384E0,1.962738037E1,-2.514648438E0,-4.170989990E1,4.616571528E1
1.752216986E0,1.827697754E1,-1.464843750E0,-4.411010742E1,4.776918726E1
1.772358588E0,1.827697754E1,-2.514648438E0,-4.305877686E1,4.684473961E1
1.792530707E0,1.842651367E1,-3.263854980E0,-4.470977783E1,4.846806566E1
1.812672308E0,1.917724609E1,-2.664184570E0,-4.261016846E1,4.680268265E1
1.832813910E0,1.992645264E1,-2.214050293E0,-4.425964355E1,4.858890389E1
1.852924994E0,2.127685547E1,-1.914978027E0,-4.290924072E1,4.793302263E1
1.872700384E0,2.082672119E1,-2.664184570E0,-4.290924072E1,4.777083979E1
1.893208197E0,1.902618408E1,-1.464843750E0,-4.216003418E1,4.627753159E1
1.913349798E0,1.992645264E1,-1.914978027E0,-4.230957031E1,4.680630722E1
1.933491400E0,1.932678223E1,-1.464843750E0,-4.350891113E1,4.763082643E1
1.953633002E0,2.052612305E1,-2.664184570E0,-4.290924072E1,4.764055569E1
1.973774603E0,2.082672119E1,-3.713989258E0,-4.261016846E1,4.757281248E1
1.993916205E0,2.082672119E1,-3.263854980E0,-4.425964355E1,4.902367910E1
2.014057806E0,2.157592773E1,-1.914978027E0,-4.395904541E1,4.900597384E1
2.034077338E0,1.962738037E1,-1.763916016E0,-4.350891113E1,4.776369759E1
2.054341009E0,1.962738037E1,-2.064514160E0,-4.275970459E1,4.709446481E1
2.074513129E0,1.902618408E1,-2.813720703E0,-4.350891113E1,4.757034846E1
2.094654730E0,1.917724609E1,-2.664184570E0,-4.290924072E1,4.707512705E1
2.114765814E0,1.947631836E1,-4.014587402E0,-4.335937500E1,4.770198412E1
2.134907416E0,2.112731934E1,6.362915039E-1,-4.305877686E1,4.796693396E1
2.155049017E0,1.917724609E1,-1.614379883E0,-4.290924072E1,4.702739552E1
2.175190619E0,1.782684326E1,-2.664184570E0,-4.290924072E1,4.654134892E1
2.195362738E0,1.827697754E1,-1.464843750E0,-4.350891113E1,4.721460604E1
2.215504339E0,1.812591553E1,-1.313781738E0,-4.230957031E1,4.604752519E1
2.235645941E0,1.872711182E1,-3.114318848E0,-4.411010742E1,4.802192495E1
2.255787543E0,1.767730713E1,-2.064514160E0,-4.305877686E1,4.659192709E1
2.275868109E0,1.947631836E1,-2.664184570E0,-4.335937500E1,4.760735507E1
2.296040228E0,2.007598877E1,-3.414916992E0,-4.245910645E1,4.709015506E1
2.315815619E0,1.782684326E1,-2.214050293E0,-4.125976562E1,4.500074020E1
2.336414984E0,1.947631836E1,-3.263854980E0,-4.290924072E1,4.723539632E1
2.356434515E0,1.797637939E1,-2.064514160E0,-4.245910645E1,4.615396142E1
2.376637152E0,1.767730713E1,-4.164123535E0,-4.350891113E1,4.714713629E1
2.396748236E0,1.932678223E1,-2.514648438E0,-4.440917969E1,4.849766189E1
2.416889838E0,1.932678223E1,-2.813720703E0,-4.245910645E1,4.673561014E1
2.437031439E0,1.887664795E1,-4.014587402E0,-4.425964355E1,4.828416715E1
2.457173041E0,1.797637939E1,-3.114318848E0,-4.350891113E1,4.717917492E1
2.477314642E0,1.767730713E1,-3.114318848E0,-4.140930176E1,4.513221068E1
2.497456244E0,2.007598877E1,-2.813720703E0,-4.411010742E1,4.854548307E1
2.517597845E0,1.812591553E1,-1.614379883E0,-4.155883789E1,4.536840357E1
2.537739447E0,1.827697754E1,-2.813720703E0,-4.140930176E1,4.535080158E1
2.557881048E0,1.842651367E1,-4.014587402E0,-4.230957031E1,4.632227389E1
2.578022650E0,1.992645264E1,-1.614379883E0,-4.395904541E1,4.829148383E1
2.598164252E0,2.022705078E1,-2.964782715E0,-4.125976562E1,4.604662614E1
2.618305853E0,1.917724609E1,-4.014587402E0,-4.290924072E1,4.717082381E1
2.638447455E0,1.962738037E1,-4.164123535E0,-4.350891113E1,4.791241314E1
2.658589056E0,1.962738037E1,-2.064514160E0,-4.216003418E1,4.655066875E1
2.678730658E0,1.932678223E1,-3.114318848E0,-4.350891113E1,4.771004969E1
2.698872259E0,1.842651367E1,-3.263854980E0,-4.261016846E1,4.653832411E1
2.719044379E0,1.752624512E1,-2.664184570E0,-4.290924072E1,4.642704047E1
2.739155463E0,1.962738037E1,-3.414916992E0,-4.035949707E1,4.500871829E1
2.759297064E0,1.947631836E1,-1.914978027E0,-4.261016846E1,4.688945056E1
2.779408148E0,1.902618408E1,-4.164123535E0,-4.170989990E1,4.603315496E1
2.799549750E0,1.842651367E1,-2.664184570E0,-4.230957031E1,4.622482045E1
2.819691351E0,1.782684326E1,-3.263854980E0,-4.335937500E1,4.699451554E1
2.839832953E0,2.052612305E1,-3.713989258E0,-4.290924072E1,4.771077848E1
2.859974554E0,1.797637939E1,-2.813720703E0,-4.245910645E1,4.619353808E1
2.880116156E0,1.902618408E1,-2.064514160E0,-4.245910645E1,4.657288503E1
2.900257757E0,1.797637939E1,-2.064514160E0,-4.111022949E1,4.491618198E1
2.920399359E0,1.902618408E1,-3.865051270E0,-4.380950928E1,4.791875839E1
2.940540961E0,1.692657471E1,-3.114318848E0,-4.305877686E1,4.637096265E1
2.960682562E0,1.572723389E1,-2.664184570E0,-4.230957031E1,4.521662864E1
2.980824164E0,1.887664795E1,-1.313781738E0,-4.155883789E1,4.566389019E1
3.001026800E0,1.917724609E1,-2.214050293E0,-4.290924072E1,4.705179833E1
3.021229437E0,1.782684326E1,-2.964782715E0,-4.230957031E1,4.600745610E1
3.041248968E0,1.902618408E1,-3.865051270E0,-4.350891113E1,4.764409355E1
3.061360052E0,1.782684326E1,-2.214050293E0,-4.365997314E1,4.721113867E1
3.081501654E0,1.887664795E1,-2.664184570E0,-4.290924072E1,4.695347332E1
3.101643256E0,1.842651367E1,-8.636474609E-1,-4.261016846E1,4.643176444E1
3.121815375E0,1.947631836E1,-1.614379883E0,-4.290924072E1,4.715014463E1
3.141956976E0,1.827697754E1,-3.414916992E0,-4.216003418E1,4.607795621E1
3.162098578E0,1.632690430E1,-2.064514160E0,-4.216003418E1,4.525813192E1
3.182240179E0,1.962738037E1,-2.064514160E0,-4.170989990E1,4.614338554E1
3.202381781E0,1.677703857E1,-2.664184570E0,-4.230957031E1,4.559239676E1
3.222523382E0,1.947631836E1,-2.664184570E0,-4.395904541E1,4.815415381E1
3.242664984E0,1.902618408E1,-1.464843750E0,-4.350891113E1,4.750964950E1
3.262837103E0,1.932678223E1,-2.064514160E0,-4.245910645E1,4.669649291E1
3.282948187E0,2.022705078E1,-3.263854980E0,-4.365997314E1,4.822841059E1
3.303089789E0,1.767730713E1,-1.763916016E0,-4.140930176E1,4.505917064E1
3.323231390E0,1.917724609E1,-1.313781738E0,-4.425964355E1,4.825358886E1
3.343372992E0,1.827697754E1,-2.064514160E0,-4.440917969E1,4.806750844E1
3.363575629E0,1.767730713E1,-1.164245605E0,-4.350891113E1,4.697731371E1
3.383900336E0,1.827697754E1,-3.414916992E0,-4.140930176E1,4.539206801E1
3.403828314E0,1.992645264E1,-3.263854980E0,-4.335937500E1,4.783044704E1
3.424000433E0,1.947631836E1,-2.214050293E0,-4.185943604E1,4.622165489E1
3.444081000E0,1.722717285E1,-3.114318848E0,-4.411010742E1,4.745709687E1
3.464253119E0,1.902618408E1,-2.813720703E0,-4.380950928E1,4.784543665E1
3.484394720E0,1.782684326E1,-2.214050293E0,-4.290924072E1,4.651775251E1
3.504536322E0,1.947631836E1,-2.664184570E0,-4.425964355E1,4.842871982E1
3.524677923E0,1.827697754E1,-2.064514160E0,-4.275970459E1,4.654785133E1
3.544911078E0,1.917724609E1,-2.214050293E0,-4.425964355E1,4.828648707E1
3.564991644E0,1.782684326E1,-1.914978027E0,-4.155883789E1,4.526146803E1
3.585102728E0,1.887664795E1,-2.664184570E0,-4.395904541E1,4.791475128E1
3.605244330E0,1.902618408E1,-2.813720703E0,-4.305877686E1,4.715899669E1
3.625385931E0,1.872711182E1,-2.514648438E0,-4.411010742E1,4.798676641E1
3.645527533E0,2.082672119E1,-3.263854980E0,-4.261016846E1,4.753978882E1
3.665669134E0,1.872711182E1,-3.114318848E0,-4.275970459E1,4.678457049E1
3.685810736E0,1.767730713E1,-2.813720703E0,-4.305877686E1,4.663113205E1
3.705952338E0,1.842651367E1,-2.964782715E0,-4.365997314E1,4.748178174E1
3.726093939E0,1.947631836E1,-1.614379883E0,-4.561004639E1,4.962065629E1
3.746235541E0,1.962738037E1,-2.813720703E0,-4.245910645E1,4.686071707E1
3.766407660E0,1.902618408E1,-3.414916992E0,-4.350891113E1,4.760969110E1
3.786396673E0,1.947631836E1,-2.964782715E0,-4.500885010E1,4.913159371E1
3.806660345E0,1.887664795E1,-2.664184570E0,-4.500885010E1,4.887967169E1
3.826801947E0,1.932678223E1,-3.114318848E0,-4.305877686E1,4.729991287E1
3.846882513E0,1.947631836E1,-4.014587402E0,-4.425964355E1,4.852174705E1
3.867085150E0,2.052612305E1,-2.664184570E0,-4.500885010E1,4.954004637E1
3.887196234E0,1.872711182E1,-3.114318848E0,-4.275970459E1,4.678457049E1
3.907337836E0,1.872711182E1,-4.763793945E0,-4.305877686E1,4.719593959E1
3.927509955E0,1.887664795E1,-2.964782715E0,-4.335937500E1,4.738304733E1
3.947621039E0,1.962738037E1,-2.064514160E0,-4.275970459E1,4.709446481E1
3.967762640E0,1.767730713E1,-3.865051270E0,-4.350891113E1,4.712166335E1
3.993763617E0,2.007598877E1,-2.064514160E0,-4.350891113E1,4.796178574E1
4.007710150E0,1.782684326E1,-3.713989258E0,-4.261016846E1,4.633806764E1
4.027851752E0,1.797637939E1,-3.414916992E0,-4.305877686E1,4.678536244E1
4.047993353E0,1.842651367E1,-8.636474609E-1,-4.261016846E1,4.643176444E1
4.068134955E0,1.917724609E1,-4.313659668E0,-4.125976562E1,4.570276454E1
4.088276556E0,1.902618408E1,-1.763916016E0,-4.380950928E1,4.779518996E1
4.108357123E0,1.947631836E1,-2.964782715E0,-4.335937500E1,4.762512272E1
4.128559759E0,2.022705078E1,-1.614379883E0,-4.155883789E1,4.624799252E1
4.148701361E0,1.677703857E1,-2.214050293E0,-4.185943604E1,4.515067471E1
4.168842963E0,1.527709961E1,-7.141113281E-1,-3.975982666E1,4.259980685E1
4.188984564E0,1.872711182E1,-3.114318848E0,-4.275970459E1,4.678457049E1
4.209126166E0,1.782684326E1,-2.964782715E0,-4.230957031E1,4.600745610E1
4.229267767E0,1.887664795E1,-1.614379883E0,-4.365997314E1,4.759335369E1
4.249409369E0,1.902618408E1,-1.763916016E0,-4.170989990E1,4.587834816E1
4.269581488E0,1.662597656E1,-3.414916992E0,-4.140930176E1,4.475282144E1
4.289723089E0,1.827697754E1,-2.813720703E0,-4.411010742E1,4.782955685E1
4.309864691E0,1.872711182E1,-2.813720703E0,-4.275970459E1,4.676552232E1
4.329975775E0,1.917724609E1,-2.214050293E0,-4.395904541E1,4.801110767E1
4.350117377E0,2.037658691E1,-1.763916016E0,-4.305877686E1,4.766943421E1
4.370289496E0,1.827697754E1,-2.813720703E0,-4.275970459E1,4.658709337E1
4.390431097E0,1.917724609E1,-1.313781738E0,-4.230957031E1,4.647141627E1
4.410572699E0,1.947631836E1,-1.914978027E0,-4.365997314E1,4.784545300E1
4.430683783E0,1.842651367E1,-3.713989258E0,-4.290924072E1,4.684584359E1
4.450733832E0,1.917724609E1,-2.664184570E0,-4.185943604E1,4.612024536E1
4.470997504E0,1.812591553E1,-5.645751953E-1,-4.261016846E1,4.630868185E1
4.491139105E0,1.767730713E1,-1.763916016E0,-4.275970459E1,4.630324960E1
4.511250189E0,1.902618408E1,-2.813720703E0,-4.350891113E1,4.757034846E1
4.531391791E0,1.767730713E1,-2.514648438E0,-4.216003418E1,4.578514089E1
4.551563910E0,1.752624512E1,-2.214050293E0,-4.425964355E1,4.765487734E1
4.571705511E0,1.842651367E1,-2.664184570E0,-4.230957031E1,4.622482045E1
4.591816595E0,1.752624512E1,-1.313781738E0,-4.290924072E1,4.636915170E1
4.611988714E0,1.887664795E1,-2.964782715E0,-4.335937500E1,4.738304733E1
4.632130316E0,1.797637939E1,-2.064514160E0,-4.380950928E1,4.739921453E1
4.652271918E0,1.887664795E1,-3.713989258E0,-4.290924072E1,4.702472215E1
4.672383002E0,1.962738037E1,-2.813720703E0,-4.380950928E1,4.808767189E1
4.692524603E0,1.872711182E1,-1.763916016E0,-4.380950928E1,4.767692544E1
4.712696722E0,2.007598877E1,-1.763916016E0,-4.245910645E1,4.699928132E1
4.732838324E0,1.842651367E1,-1.614379883E0,-4.365997314E1,4.741662033E1
4.752979925E0,1.812591553E1,-2.664184570E0,-4.185943604E1,4.569309662E1
4.773091009E0,1.917724609E1,-2.214050293E0,-4.290924072E1,4.705179833E1
4.793232611E0,1.962738037E1,-2.813720703E0,-4.411010742E1,4.836168588E1
4.813404730E0,1.917724609E1,-3.713989258E0,-4.395904541E1,4.810361896E1
4.833546332E0,1.872711182E1,-1.164245605E0,-4.170989990E1,4.573593702E1
4.853687933E0,1.752624512E1,-3.713989258E0,-4.185943604E1,4.553213557E1
4.873799017E0,1.932678223E1,-2.064514160E0,-4.440917969E1,4.847640633E1
4.893940619E0,1.827697754E1,-2.813720703E0,-4.411010742E1,4.782955685E1
4.914112738E0,1.947631836E1,-3.713989258E0,-4.335937500E1,4.767762676E1
4.934254339E0,1.722717285E1,-1.763916016E0,-4.275970459E1,4.613327672E1
4.954365423E0,1.887664795E1,-3.263854980E0,-4.335937500E1,4.740270021E1
4.974507025E0,2.022705078E1,-2.214050293E0,-4.230957031E1,4.694821980E1
4.994679144E0,1.917724609E1,-4.014587402E0,-4.261016846E1,4.689893534E1
5.014820746E0,1.932678223E1,-3.414916992E0,-4.275970459E1,4.704868230E1
5.034931830E0,1.707611084E1,-2.214050293E0,-4.230957031E1,4.567926576E1
5.055103949E0,1.647644043E1,-2.964782715E0,-4.050903320E1,4.383200653E1
5.075245550E0,1.782684326E1,-2.964782715E0,-4.425964355E1,4.780692758E1
5.095356634E0,1.992645264E1,-3.263854980E0,-4.185943604E1,4.647503254E1
5.115498236E0,1.872711182E1,-2.514648438E0,-4.485931396E1,4.867634151E1
5.135670355E0,1.812591553E1,-2.214050293E0,-4.335937500E1,4.704770167E1
5.155811957E0,1.902618408E1,-3.414916992E0,-4.275970459E1,4.692600212E1
5.175923041E0,1.902618408E1,-3.114318848E0,-4.380950928E1,4.786405505E1
5.196064642E0,1.767730713E1,-3.114318848E0,-4.245910645E1,4.609730892E1
5.216236761E0,1.812591553E1,-3.263854980E0,-4.261016846E1,4.642012515E1
5.236378363E0,1.812591553E1,-3.713989258E0,-4.290924072E1,4.672842250E1
5.256519964E0,1.872711182E1,-2.514648438E0,-4.216003418E1,4.620061315E1
5.276631048E0,1.722717285E1,-2.813720703E0,-4.245910645E1,4.590716969E1
5.296803168E0,2.007598877E1,-3.414916992E0,-4.275970459E1,4.736136949E1
5.316914252E0,1.917724609E1,-2.214050293E0,-4.365997314E1,4.773742810E1
5.337055853E0,1.797637939E1,-2.514648438E0,-4.275970459E1,4.645283640E1
5.357227972E0,1.707611084E1,-1.614379883E0,-4.230957031E1,4.565412932E1
5.377369574E0,1.887664795E1,-3.713989258E0,-4.261016846E1,4.675198402E1
5.397480658E0,1.797637939E1,-3.865051270E0,-4.411010742E1,4.778901981E1
5.417622259E0,1.887664795E1,-3.263854980E0,-4.365997314E1,4.767781289E1
5.437794379E0,1.797637939E1,-3.414916992E0,-4.170989990E1,4.554698260E1
5.457935980E0,1.827697754E1,-2.514648438E0,-4.305877686E1,4.684473961E1
5.478077582E0,1.797637939E1,-2.813720703E0,-4.245910645E1,4.619353808E1
5.498554877E0,1.962738037E1,-3.865051270E0,-4.305877686E1,4.747874204E1
5.518665961E0,1.902618408E1,-3.414916992E0,-4.380950928E1,4.788455327E1
5.538838080E0,1.842651367E1,-4.014587402E0,-4.470977783E1,4.852440161E1
5.558979681E0,1.887664795E1,-2.964782715E0,-4.425964355E1,4.820823396E1
5.579121283E0,1.827697754E1,-2.064514160E0,-4.590911865E1,4.945662041E1
5.599262884E0,2.022705078E1,-2.664184570E0,-4.470977783E1,4.914464057E1
5.619404486E0,1.872711182E1,-2.813720703E0,-4.411010742E1,4.800336778E1
5.639546088E0,2.007598877E1,-2.064514160E0,-4.350891113E1,4.796178574E1
5.659687689E0,1.827697754E1,-3.114318848E0,-4.380950928E1,4.757120971E1
5.679493597E0,2.037658691E1,-2.064514160E0,-4.380950928E1,4.836052746E1
5.699970892E0,1.962738037E1,-2.813720703E0,-4.380950928E1,4.808767189E1
5.720112494E0,1.962738037E1,-3.114318848E0,-4.305877686E1,4.742353115E1
5.740254095E0,2.037658691E1,-2.064514160E0,-4.440917969E1,4.890442468E1
5.760395697E0,1.947631836E1,-3.713989258E0,-4.290924072E1,4.726863265E1
5.780537298E0,1.827697754E1,-3.114318848E0,-4.380950928E1,4.757120971E1
5.800678900E0,1.812591553E1,-3.263854980E0,-4.365997314E1,4.738559716E1
5.820820502E0,1.932678223E1,-4.464721680E0,-4.350891113E1,4.781718937E1
5.840962103E0,1.947631836E1,-1.914978027E0,-4.425964355E1,4.839328637E1
5.861103705E0,2.007598877E1,-3.414916992E0,-4.350891113E1,4.803886272E1
5.881245306E0,1.962738037E1,-3.414916992E0,-4.380950928E1,4.812659162E1
5.901417425E0,2.037658691E1,-3.414916992E0,-4.411010742E1,4.870901897E1
5.921528509E0,1.932678223E1,-3.414916992E0,-4.275970459E1,4.704868230E1
5.941670111E0,1.812591553E1,-1.313781738E0,-4.395904541E1,4.756755732E1
5.961720160E0,1.917724609E1,-4.313659668E0,-4.365997314E1,4.788076527E1
5.981953314E0,1.947631836E1,-3.263854980E0,-4.425964355E1,4.846540801E1
6.002094916E0,2.082672119E1,-4.014587402E0,-4.395904541E1,4.880847161E1
6.022236517E0,1.992645264E1,-4.313659668E0,-4.335937500E1,4.791353227E1
6.042378119E0,2.127685547E1,-3.713989258E0,-4.425964355E1,4.924849584E1
6.062550238E0,2.037658691E1,-3.414916992E0,-4.440917969E1,4.898001830E1
6.082874945E0,1.887664795E1,-1.914978027E0,-4.500885010E1,4.884456537E1
6.102802923E0,1.932678223E1,-3.865051270E0,-4.380950928E1,4.803890336E1
6.123005560E0,1.992645264E1,-2.214050293E0,-4.425964355E1,4.858890389E1
6.143086127E0,1.992645264E1,-3.263854980E0,-4.530944824E1,4.960506390E1
6.163227728E0,1.797637939E1,-2.514648438E0,-4.411010742E1,4.769879715E1
6.183399847E0,1.992645264E1,-2.214050293E0,-4.395904541E1,4.831524818E1
6.203510931E0,1.962738037E1,-3.414916992E0,-4.380950928E1,4.812659162E1
