Time (s),Bx (µT),By (µT),Bz (µT),Bt (µT)
7.55E+00,1.90E+01,-3.41E+00,-4.31E+01,4.72E+01
7.57E+00,1.62E+01,-3.71E+00,-4.16E+01,4.48E+01
7.59E+00,1.87E+01,-4.16E+00,-4.41E+01,4.81E+01
7.61E+00,1.72E+01,-3.11E+00,-4.25E+01,4.59E+01
7.63E+00,1.87E+01,-2.81E+00,-4.25E+01,4.65E+01
7.65E+00,1.83E+01,-3.87E+00,-4.28E+01,4.67E+01
7.67E+00,1.90E+01,-2.51E+00,-4.31E+01,4.71E+01
7.69E+00,1.87E+01,-4.16E+00,-4.31E+01,4.71E+01
7.71E+00,1.87E+01,-3.41E+00,-4.17E+01,4.58E+01
7.73E+00,1.81E+01,-2.66E+00,-4.26E+01,4.64E+01
7.75E+00,1.84E+01,-2.96E+00,-4.47E+01,4.84E+01
7.77E+00,1.81E+01,-2.66E+00,-4.23E+01,4.61E+01
7.79E+00,1.80E+01,-2.06E+00,-4.22E+01,4.59E+01
7.81E+00,1.75E+01,-4.01E+00,-4.23E+01,4.60E+01
7.83E+00,1.87E+01,-2.51E+00,-4.31E+01,4.70E+01
7.86E+00,1.87E+01,-1.76E+00,-4.28E+01,4.67E+01
7.88E+00,1.75E+01,-2.21E+00,-4.34E+01,4.68E+01
7.90E+00,1.84E+01,-3.26E+00,-4.23E+01,4.63E+01
7.92E+00,1.93E+01,-2.06E+00,-4.31E+01,4.72E+01
7.94E+00,1.95E+01,-3.26E+00,-4.23E+01,4.67E+01
7.96E+00,1.78E+01,-3.26E+00,-4.29E+01,4.66E+01
7.98E+00,1.90E+01,-1.76E+00,-4.35E+01,4.75E+01
8.00E+00,2.02E+01,-2.96E+00,-4.19E+01,4.66E+01
8.02E+00,1.89E+01,-4.31E+00,-4.43E+01,4.83E+01
8.04E+00,1.95E+01,-2.96E+00,-4.37E+01,4.79E+01
8.06E+00,1.93E+01,-5.51E+00,-4.25E+01,4.70E+01
8.08E+00,1.80E+01,-3.41E+00,-4.52E+01,4.87E+01
8.10E+00,1.89E+01,-3.71E+00,-4.23E+01,4.65E+01
8.12E+00,1.93E+01,-4.16E+00,-4.44E+01,4.86E+01
8.14E+00,2.04E+01,-4.46E+00,-4.38E+01,4.85E+01
8.16E+00,1.90E+01,-3.41E+00,-4.44E+01,4.84E+01
8.18E+00,1.93E+01,-4.76E+00,-4.31E+01,4.74E+01
8.20E+00,1.99E+01,-2.96E+00,-4.43E+01,4.86E+01
8.22E+00,2.11E+01,-2.81E+00,-4.38E+01,4.87E+01
8.24E+00,1.93E+01,-4.76E+00,-4.38E+01,4.81E+01
8.26E+00,1.99E+01,-5.36E+00,-4.37E+01,4.83E+01
8.28E+00,1.93E+01,-3.41E+00,-4.38E+01,4.80E+01
8.30E+00,2.11E+01,-3.41E+00,-4.44E+01,4.93E+01
8.32E+00,1.92E+01,-5.06E+00,-4.43E+01,4.85E+01
8.34E+00,1.96E+01,-2.81E+00,-4.38E+01,4.81E+01
8.36E+00,1.83E+01,-3.11E+00,-4.44E+01,4.81E+01
8.38E+00,1.95E+01,-4.01E+00,-4.40E+01,4.82E+01
8.40E+00,1.84E+01,-3.71E+00,-4.40E+01,4.78E+01
8.42E+00,1.96E+01,-2.81E+00,-4.31E+01,4.74E+01
8.44E+00,1.89E+01,-5.06E+00,-4.37E+01,4.78E+01
8.46E+00,1.83E+01,-2.06E+00,-4.38E+01,4.75E+01
8.48E+00,2.11E+01,-2.81E+00,-4.35E+01,4.84E+01
8.50E+00,1.96E+01,-4.16E+00,-4.35E+01,4.79E+01
8.52E+00,1.81E+01,-4.01E+00,-4.26E+01,4.65E+01
8.54E+00,2.07E+01,-2.81E+00,-4.25E+01,4.73E+01
8.56E+00,1.99E+01,-4.31E+00,-4.47E+01,4.91E+01
8.58E+00,2.04E+01,-3.41E+00,-4.38E+01,4.84E+01
8.60E+00,2.13E+01,-4.01E+00,-4.40E+01,4.90E+01
8.62E+00,1.90E+01,-4.76E+00,-4.38E+01,4.80E+01
8.64E+00,1.84E+01,-4.31E+00,-4.40E+01,4.79E+01
8.66E+00,1.87E+01,-4.46E+00,-4.49E+01,4.88E+01
8.68E+00,2.02E+01,-1.91E+00,-4.43E+01,4.87E+01
8.70E+00,1.93E+01,-2.81E+00,-4.35E+01,4.77E+01
8.72E+00,1.96E+01,-3.41E+00,-4.35E+01,4.79E+01
8.74E+00,2.04E+01,-2.81E+00,-4.41E+01,4.87E+01
8.76E+00,1.92E+01,-4.61E+00,-4.26E+01,4.70E+01
8.78E+00,2.08E+01,-3.26E+00,-4.34E+01,4.82E+01
8.80E+00,1.89E+01,-3.71E+00,-4.29E+01,4.70E+01
8.82E+00,1.96E+01,-4.16E+00,-4.41E+01,4.85E+01
8.84E+00,1.92E+01,-4.61E+00,-4.37E+01,4.79E+01
8.86E+00,1.87E+01,-3.87E+00,-4.44E+01,4.84E+01
8.88E+00,1.92E+01,-3.71E+00,-4.37E+01,4.78E+01
8.90E+00,1.87E+01,-5.21E+00,-4.28E+01,4.70E+01
8.92E+00,1.90E+01,-3.41E+00,-4.31E+01,4.72E+01
8.94E+00,2.01E+01,-4.16E+00,-4.28E+01,4.74E+01
8.96E+00,1.87E+01,-3.41E+00,-4.22E+01,4.63E+01
8.98E+00,1.72E+01,-1.76E+00,-4.35E+01,4.68E+01
9.00E+00,1.84E+01,-2.96E+00,-4.37E+01,4.75E+01
9.02E+00,1.75E+01,-2.96E+00,-4.29E+01,4.64E+01
9.04E+00,1.75E+01,-2.96E+00,-4.29E+01,4.64E+01
9.06E+00,1.90E+01,-2.51E+00,-4.41E+01,4.81E+01
9.08E+00,1.90E+01,-3.11E+00,-4.28E+01,4.69E+01
9.10E+00,1.92E+01,-4.31E+00,-4.29E+01,4.72E+01
9.12E+00,1.80E+01,-4.76E+00,-4.22E+01,4.61E+01
9.14E+00,1.83E+01,-3.87E+00,-4.28E+01,4.67E+01
9.16E+00,1.80E+01,-3.41E+00,-4.25E+01,4.62E+01
9.18E+00,1.93E+01,-4.16E+00,-4.28E+01,4.71E+01
9.20E+00,1.84E+01,-2.66E+00,-4.34E+01,4.72E+01
9.22E+00,1.81E+01,-4.01E+00,-4.19E+01,4.58E+01
9.24E+00,1.81E+01,-4.01E+00,-4.23E+01,4.62E+01
9.26E+00,1.90E+01,-1.76E+00,-4.35E+01,4.75E+01
9.29E+00,2.01E+01,-2.81E+00,-4.31E+01,4.76E+01
9.30E+00,2.08E+01,-2.66E+00,-4.47E+01,4.94E+01
9.33E+00,1.92E+01,-3.71E+00,-4.29E+01,4.71E+01
9.35E+00,1.78E+01,-4.01E+00,-4.29E+01,4.66E+01
9.37E+00,1.95E+01,-3.26E+00,-4.40E+01,4.82E+01
9.39E+00,1.87E+01,-2.81E+00,-4.28E+01,4.68E+01
9.41E+00,1.93E+01,-4.16E+00,-4.35E+01,4.78E+01
9.43E+00,1.84E+01,-2.66E+00,-4.40E+01,4.77E+01
9.45E+00,1.95E+01,-1.91E+00,-4.29E+01,4.72E+01
9.47E+00,1.90E+01,-2.81E+00,-4.44E+01,4.84E+01
9.49E+00,1.87E+01,-3.11E+00,-4.31E+01,4.71E+01
9.51E+00,1.66E+01,-3.41E+00,-4.41E+01,4.73E+01
9.53E+00,1.81E+01,-4.31E+00,-4.26E+01,4.65E+01
9.55E+00,1.90E+01,-1.16E+00,-4.25E+01,4.65E+01
9.57E+00,1.71E+01,-2.21E+00,-4.19E+01,4.53E+01
