Time (s),Bx (µT),By (µT),Bz (µT),Bt (µT)
1.73E+00,1.96E+01,-2.51E+00,-4.17E+01,4.62E+01
1.75E+00,1.83E+01,-1.46E+00,-4.41E+01,4.78E+01
1.77E+00,1.83E+01,-2.51E+00,-4.31E+01,4.68E+01
1.79E+00,1.84E+01,-3.26E+00,-4.47E+01,4.85E+01
1.81E+00,1.92E+01,-2.66E+00,-4.26E+01,4.68E+01
1.83E+00,1.99E+01,-2.21E+00,-4.43E+01,4.86E+01
1.85E+00,2.13E+01,-1.91E+00,-4.29E+01,4.79E+01
1.87E+00,2.08E+01,-2.66E+00,-4.29E+01,4.78E+01
1.89E+00,1.90E+01,-1.46E+00,-4.22E+01,4.63E+01
1.91E+00,1.99E+01,-1.91E+00,-4.23E+01,4.68E+01
1.93E+00,1.93E+01,-1.46E+00,-4.35E+01,4.76E+01
1.95E+00,2.05E+01,-2.66E+00,-4.29E+01,4.76E+01
1.97E+00,2.08E+01,-3.71E+00,-4.26E+01,4.76E+01
1.99E+00,2.08E+01,-3.26E+00,-4.43E+01,4.90E+01
2.01E+00,2.16E+01,-1.91E+00,-4.40E+01,4.90E+01
2.03E+00,1.96E+01,-1.76E+00,-4.35E+01,4.78E+01
2.05E+00,1.96E+01,-2.06E+00,-4.28E+01,4.71E+01
2.07E+00,1.90E+01,-2.81E+00,-4.35E+01,4.76E+01
2.09E+00,1.92E+01,-2.66E+00,-4.29E+01,4.71E+01
2.11E+00,1.95E+01,-4.01E+00,-4.34E+01,4.77E+01
2.13E+00,2.11E+01,6.36E-01,-4.31E+01,4.80E+01
2.16E+00,1.92E+01,-1.61E+00,-4.29E+01,4.70E+01
2.18E+00,1.78E+01,-2.66E+00,-4.29E+01,4.65E+01
2.20E+00,1.83E+01,-1.46E+00,-4.35E+01,4.72E+01
2.22E+00,1.81E+01,-1.31E+00,-4.23E+01,4.60E+01
2.24E+00,1.87E+01,-3.11E+00,-4.41E+01,4.80E+01
2.26E+00,1.77E+01,-2.06E+00,-4.31E+01,4.66E+01
